condition,skin_type,tip_category,advice,source,source_url
acne,oily,cleansing,Gently wash your face up to twice daily and after sweating. Use a gentle non-abrasive cleanser applied with fingertips — scrubbing with washcloths or sponges can irritate skin and worsen acne.,AAD,https://www.aad.org/public/diseases/acne/skin-care/tips
acne,oily,product_selection,"Use gentle skin care products labeled ""alcohol-free"". Avoid astringents, toners and exfoliants — these can dry skin and make acne appear worse.",AAD,https://www.aad.org/public/diseases/acne/skin-care/tips
acne,oily,sun_protection,"Apply a broad-spectrum water-resistant sunscreen SPF 30+ labeled ""non-comedogenic"" or ""won't clog pores"". Some acne medications increase UV sensitivity.",AAD,https://www.aad.org/public/diseases/acne/skin-care/tips
acne,oily,lifestyle,Avoid touching your face throughout the day. Do not pick, pop or squeeze acne — this increases healing time and raises risk of scarring and post-inflammatory hyperpigmentation.,AAD,https://www.aad.org/public/diseases/acne/skin-care/tips
acne,oily,lifestyle,Shampoo regularly if you have oily hair — scalp oil causes forehead acne. Keep hair off your face.,AAD,https://www.aad.org/public/diseases/acne/skin-care/tips
acne,combination,treatment,Stick to your treatment plan. Trying new acne treatments too often irritates skin. Give each treatment several weeks to months before evaluating results.,AAD,https://www.aad.org/public/diseases/acne/skin-care/tips
eczema,sensitive,moisturizing,"Apply emollients (moisturising creams, lotions or ointments) to skin at least twice a day. Continue moisturising even when eczema improves.",NHS,https://www.nhs.uk/conditions/atopic-eczema/treatment/
eczema,dry,cleansing,Wash with an emollient instead of soap. Avoid soap and washing detergents that strip the skin barrier.,NHS,https://www.nhs.uk/conditions/atopic-eczema/treatment/
eczema,sensitive,triggers,"Avoid known triggers including soap, washing detergent, certain fabrics, pet dander, pollen, house-dust mites and specific foods confirmed by a doctor.",NHS,https://www.nhs.uk/conditions/atopic-eczema/treatment/
eczema,sensitive,lifestyle,Keep cool — heat makes eczema more itchy. Keep nails short to prevent skin damage from scratching.,NHS,https://www.nhs.uk/conditions/atopic-eczema/treatment/
eczema,sensitive,product_selection,Do not use aqueous cream as it can irritate skin and make eczema worse. Do not share emollients — use a spoon or pump dispenser to avoid contaminating the pot.,NHS,https://www.nhs.uk/conditions/atopic-eczema/treatment/
eczema,sensitive,treatment,"Main treatments: emollients for moisturising and washing, and topical corticosteroids to relieve flare-up symptoms. Consult a GP for prescription-strength options.",NHS,https://www.nhs.uk/conditions/atopic-eczema/treatment/
psoriasis,normal,lifestyle,"Avoid known triggers: stress, alcohol, smoking, certain medicines, infections and skin trauma (cuts, scratches).",NHS,https://www.nhs.uk/conditions/psoriasis/treatment/
psoriasis,dry,moisturizing,Apply emollients regularly. Do not put fingers into an emollient pot — use a spoon or spatula to prevent contamination.,NHS,https://www.nhs.uk/conditions/psoriasis/treatment/
psoriasis,normal,treatment,"Main treatments include vitamin D creams, emollients, steroid creams and coal tar preparations. More severe cases may require light therapy or systemic medicines.",NHS,https://www.nhs.uk/conditions/psoriasis/treatment/
psoriasis,normal,lifestyle,"Maintain a healthy balanced diet, get regular exercise and reduce stress where possible. Minimise alcohol intake and stop smoking.",NHS,https://www.nhs.uk/conditions/psoriasis/treatment/
psoriasis,dry,lifestyle,Do not smoke or go near naked flames if using an emollient — clothing and bedding in contact with emollients catch fire more easily.,NHS,https://www.nhs.uk/conditions/psoriasis/treatment/
redness,sensitive,triggers,"Common rosacea triggers: alcohol, spicy foods, hot drinks, sunlight, temperature extremes, aerobic exercise and stress. Identify and avoid personal triggers.",NHS,https://www.nhs.uk/conditions/rosacea/
redness,sensitive,sun_protection,Apply SPF 30+ broad-spectrum sunscreen every day. Sun exposure is a primary rosacea trigger and worsens facial redness.,NHS,https://www.nhs.uk/conditions/rosacea/
redness,sensitive,product_selection,Use gentle skincare products formulated for sensitive skin. Avoid products containing irritants like alcohol or fragrances that cause burning or stinging.,NHS,https://www.nhs.uk/conditions/rosacea/
redness,sensitive,lifestyle,"Avoid heat, sunlight and humid conditions. Cover face in cold weather. Manage stress. Avoid alcohol, hot drinks, spicy food and excessive aerobic exercise.",NHS,https://www.nhs.uk/conditions/rosacea/
redness,sensitive,treatment,Rosacea cannot be cured but symptoms can be controlled. A GP may prescribe topical creams or gels and/or a course of antibiotics lasting 6–16 weeks.,NHS,https://www.nhs.uk/conditions/rosacea/
hyperpigmentation,normal,sun_protection,"Apply SPF 30+ broad-spectrum sunscreen daily. Sunlight triggers increased pigment production, darkening existing spots and creating new ones. Use tinted sunscreen containing iron oxide for added visible-light protection.",AAD,https://www.aad.org/public/diseases/a-z/melasma-treatment
hyperpigmentation,normal,sun_protection,Wear a wide-brimmed hat and seek shade while outdoors. Physical protection is as important as sunscreen for preventing and managing dark spots.,AAD,https://www.aad.org/public/diseases/a-z/melasma-treatment
hyperpigmentation,normal,treatment,"Topical ingredients used to fade dark spots include hydroquinone (prescription), azelaic acid, kojic acid, vitamin C and tretinoin combined with a mild corticosteroid.",AAD,https://www.aad.org/public/diseases/a-z/melasma-treatment
hyperpigmentation,normal,treatment,"When applying products for hyperpigmentation, layer in this order: treatment medication, then sunscreen, then camouflage makeup (if used).",AAD,https://www.aad.org/public/diseases/a-z/melasma-treatment
hyperpigmentation,normal,treatment,"Results from hyperpigmentation treatment typically take 3–12 months. Skin tone may not normalise immediately — consistent SPF use and treatment compliance are critical. Procedures (chemical peel, microneedling, laser) are performed by a dermatologist only.",AAD,https://www.aad.org/public/diseases/a-z/melasma-treatment
fungal,oily,product_selection,Switch to oil-free skin care and hair care products. Oily products promote yeast overgrowth that worsens tinea versicolor. Look for labels reading "non-comedogenic" or "oil-free".,AAD,https://www.aad.org/public/diseases/a-z/tinea-versicolor-tips
fungal,oily,treatment,"For mild tinea versicolor, apply antifungal cream or ointment (miconazole, clotrimazole or terbinafine) once or twice daily for at least 2 weeks. Selenium sulfide shampoo applied for 5–10 minutes before rinsing is also effective.",AAD,https://www.aad.org/public/diseases/a-z/tinea-versicolor-tips
fungal,oily,lifestyle,Wear loose clothing — tight clothing traps moisture and heat that encourages fungal growth.,AAD,https://www.aad.org/public/diseases/a-z/tinea-versicolor-tips
fungal,oily,sun_protection,"Apply oil-free, non-comedogenic SPF 30+ sunscreen daily. Tanning darkens surrounding skin making fungal discolouration more visible. Avoid tanning beds.",AAD,https://www.aad.org/public/diseases/a-z/tinea-versicolor-tips
fungal,normal,lifestyle,"To prevent ringworm spreading: do not share towels, combs or bedsheets. Wash towels and bedsheets regularly. Wash hands after touching animals or soil. Do not scratch affected areas.",NHS,https://www.nhs.uk/conditions/ringworm/
fungal,normal,treatment,"Start antifungal treatment (cream, gel or spray) as soon as possible. Use for the full recommended duration (up to 4 weeks) even if rash disappears early.",NHS,https://www.nhs.uk/conditions/ringworm/
dermatitis,sensitive,triggers,"Identify and avoid the specific irritant or allergen causing symptoms (soaps, detergents, solvents, cosmetics, metals such as nickel, raw fruit/vegetables).",NHS,https://www.nhs.uk/conditions/contact-dermatitis/
dermatitis,sensitive,cleansing,If skin contacts an irritant or allergen rinse the affected area with warm water and an emollient immediately. Avoid soap — use an emollient soap substitute.,NHS,https://www.nhs.uk/conditions/contact-dermatitis/
dermatitis,sensitive,moisturizing,Apply emollients frequently and in generous amounts to keep skin hydrated and maintain the barrier against allergens and irritants.,NHS,https://www.nhs.uk/conditions/contact-dermatitis/
dermatitis,sensitive,product_selection,"Check ingredients in makeup, soaps and skincare for known irritants or allergens before use. Use protective gloves for wet work, with cotton gloves underneath rubber gloves if rubber itself irritates.",NHS,https://www.nhs.uk/conditions/contact-dermatitis/
dermatitis,sensitive,treatment,"Treatment includes emollients for moisturising and topical corticosteroids to relieve severe symptoms. Oral corticosteroids may be prescribed for extensive severe flares.",NHS,https://www.nhs.uk/conditions/contact-dermatitis/
melanoma,normal,early_detection,"Check your skin regularly for the ABCDEs of melanoma — A: Asymmetry (one half unlike the other); B: Border (irregular, scalloped or poorly defined); C: Color (varying shades of tan, brown, black, white, red or blue); D: Diameter (usually >6mm, about pencil-eraser size); E: Evolving (changing in size, shape or color). See a dermatologist immediately if any spot shows these signs.",AAD,https://www.aad.org/public/diseases/skin-cancer/find/at-risk/abcdes
melanoma,normal,early_detection,"Check for new spots, spots that differ from others, or any spot that is changing, itching or bleeding. Perform a full-body skin self-exam monthly. Use a mirror or ask a partner to check areas you cannot see.",AAD,https://www.aad.org/public/diseases/skin-cancer/find/at-risk/abcdes
melanoma,normal,sun_protection,"Stay out of the sun during its hottest hours (11am–3pm). Keep arms and legs covered and wear a wide-brimmed hat and UV-protective sunglasses. Apply SPF 30+ broad-spectrum sunscreen (at least 4-star UVA protection) and reapply regularly. Never use sunbeds.",NHS,https://www.nhs.uk/conditions/melanoma-skin-cancer/causes/
melanoma,normal,sun_protection,"UV light is the most common cause of melanoma. Protecting your skin from UV exposure daily — even on cloudy days — is the single most important step to reduce your risk. People with black or brown skin can still develop melanoma, most commonly on soles of feet, palms of hands, or under nails.",NHS,https://www.nhs.uk/conditions/melanoma-skin-cancer/causes/
melanoma,normal,early_detection,"See a GP if: a mole has changed size, shape or colour; it is painful, itchy, inflamed, bleeding or crusty; you have a new unusual mark that has not gone after a few weeks; or you have a dark area under a nail not caused by injury. Finding melanoma early makes it much easier to treat.",NHS,https://www.nhs.uk/conditions/melanoma-skin-cancer/symptoms/
bacterial,normal,treatment,"Mild cellulitis is treated with a course of antibiotic tablets (usually 1 week). Continue taking antibiotics until finished even if symptoms improve. Seek urgent medical help if skin is painful, hot and swollen — early antibiotic treatment prevents spread.",NHS,https://www.nhs.uk/conditions/cellulitis/
bacterial,normal,lifestyle,"To help recover from cellulitis: elevate the affected body part on a pillow to reduce swelling; regularly move the nearby joint to prevent stiffness; drink plenty of fluids. To prevent recurrence: keep skin clean and well moisturised; clean cuts and wounds with antiseptic cream promptly; wear protective clothing and gloves when working outside.",NHS,https://www.nhs.uk/conditions/cellulitis/
bacterial,normal,lifestyle,"Prevent cellulitis by keeping skin clean and well moisturised to maintain the barrier. Treat athlete's foot promptly — it can be an entry point for bacteria that causes cellulitis.",NHS,https://www.nhs.uk/conditions/cellulitis/
bacterial,normal,treatment,"Impetigo treatment: hydrogen peroxide cream or antibiotic cream is prescribed; antibiotic tablets are used for more severe cases or those with weakened immunity. Complete the full course of treatment even if the skin starts to clear up early.",NHS,https://www.nhs.uk/conditions/impetigo/
bacterial,normal,lifestyle,"To stop impetigo spreading: wash affected areas with soap and water and dry thoroughly; wash hands frequently especially after using antibiotic cream; wash flannels, towels, sheets and pillowcases at high temperature; do not touch, scratch or pick sores and blisters.",NHS,https://www.nhs.uk/conditions/impetigo/
bacterial,normal,prevention,"Avoid impetigo by keeping cuts, scratches and insect bites clean (wash with warm water and soap). Treat existing skin conditions like eczema promptly — broken or irritated skin is the main entry point for impetigo infection.",NHS,https://www.nhs.uk/conditions/impetigo/
viral,normal,treatment,"Shingles: seek antiviral treatment from a pharmacist or GP within 3 days of the rash appearing. Treatment works best when started early. Antiviral tablets help speed recovery and reduce risk of complications such as post-herpetic neuralgia (persistent nerve pain).",NHS,https://www.nhs.uk/conditions/shingles/
viral,normal,lifestyle,"To ease shingles symptoms: keep the rash clean and dry to reduce infection risk; wear loose-fitting clothing to avoid irritating the skin; apply a cool damp compress (wet cloth or ice wrapped in a towel) a few times a day; take paracetamol for pain.",NHS,https://www.nhs.uk/conditions/shingles/
viral,normal,lifestyle,"Do not let dressings or plasters stick to a shingles rash and do not wear rough-fibred clothing over the rash. Cover the rash with loose clothing or a non-sticky dressing if you cannot avoid being around people who have not had chickenpox.",NHS,https://www.nhs.uk/conditions/shingles/
viral,normal,prevention,"A shingles vaccine is available on the NHS for eligible adults (aged 65+ or those with a severely weakened immune system). Vaccination reduces your risk and makes symptoms milder if shingles does develop. You can get shingles more than once — vaccination is still recommended after a previous episode.",NHS,https://www.nhs.uk/conditions/shingles/
viral,normal,lifestyle,"Warts and verrucas are spread by contact with contaminated surfaces or wet/damaged skin. To prevent spreading: wash hands after touching a wart; do not share towels, socks or shoes; cover warts or verrucas with a plaster when swimming; do not walk barefoot in public areas if you have a verruca; do not scratch or pick warts.",NHS,https://www.nhs.uk/conditions/warts-and-verrucas/
viral,normal,treatment,"Over-the-counter treatments for warts and verrucas (salicylic acid creams, plasters or cryotherapy sprays) can take up to 3 months and may irritate skin. Do not use these treatments on the face. A GP can offer cryotherapy (liquid nitrogen freezing). Persistent or painful cases may require referral to a podiatrist.",NHS,https://www.nhs.uk/conditions/warts-and-verrucas/
wrinkle,dry,sun_protection,"Daily use of SPF 30+ broad-spectrum sunscreen is the most effective anti-aging measure. UVA rays (aging rays) prematurely cause wrinkles and age spots and pass through window glass. Apply to all sun-exposed skin every day, year-round.",AAD,https://www.aad.org/public/everyday-care/sun-protection/sunscreen-patients/sunscreen-faqs
wrinkle,dry,sun_protection,"UVB rays cause sunburn; UVA rays cause aging and skin cancer and penetrate clouds and glass. A broad-spectrum sunscreen protects against both. There is no safe way to tan — every tan accelerates skin aging and increases skin cancer risk.",AAD,https://www.aad.org/public/everyday-care/sun-protection/sunscreen-patients/sunscreen-faqs
wrinkle,dry,product_selection,"Creams are best for dry skin and the face to prevent wrinkles. Look for sunscreen that is broad-spectrum, water-resistant and SPF 30+. Tinted sunscreens containing iron oxide also protect against visible light which can worsen age spots.",AAD,https://www.aad.org/public/everyday-care/sun-protection/sunscreen-patients/sunscreen-faqs
wrinkle,dry,lifestyle,"Tanning — both from outdoor sun and tanning beds — damages skin and accelerates wrinkling. The UV radiation from tanning beds is classified as a known carcinogen. Avoid tanning entirely; if you want a tanned appearance use a self-tanning product combined with daily SPF.",AAD,https://www.aad.org/public/everyday-care/sun-protection/sunscreen-patients/sunscreen-faqs
wrinkle,normal,sun_protection,"Reapply sunscreen approximately every 2 hours outdoors and immediately after swimming or sweating. Use about 1 ounce (a shot-glass amount) to cover the full body; at least 1 teaspoon on the face. Apply 15 minutes before going outside.",AAD,https://www.aad.org/public/everyday-care/sun-protection/sunscreen-patients/sunscreen-faqs
wrinkle,sensitive,product_selection,"For sensitive or aging skin prone to irritation, choose mineral (physical) sunscreens containing zinc oxide or titanium dioxide. These are less irritating than chemical sunscreens and are recommended for sensitive skin types.",AAD,https://www.aad.org/public/everyday-care/sun-protection/sunscreen-patients/sunscreen-faqs
