condition,evidence_focus,key_recommendations,risk_notes,primary_sources,integration_notes
acne,Barrier-safe acne care and adherence,"Gentle cleansing; non-comedogenic SPF30+; avoid picking/scrubbing; maintain treatment consistency for weeks to months",Over-cleansing and picking increase irritation/scarring,"AAD acne care tips",Prioritize cleansing+treatment+lifestyle cards for oily/combination profiles
eczema,Barrier restoration and trigger avoidance,"Frequent emollients; emollient soap substitutes; avoid known irritants; keep cool; topical steroids for flares",Soap/detergent exposure worsens barrier damage,"NHS atopic eczema treatment",Show moisturizing+trigger cards first for sensitive/dry profiles
psoriasis,Trigger control with emollient support,"Use emollients regularly; reduce stress/alcohol/smoking; follow topical treatment plans",Fire risk warning with emollient-soaked fabrics,"NHS psoriasis treatment",Pair lifestyle cards with treatment adherence reminders
redness,Rosacea trigger minimization and photoprotection,"Daily broad-spectrum SPF30+; avoid heat/spicy food/alcohol where relevant; use gentle non-irritating products",Unmanaged triggers can worsen persistent erythema,"NHS rosacea guidance",Use trigger card templates with customizable personal trigger checklists
hyperpigmentation,Photoprotection-first pigment control,"Daily SPF30+ plus shade/hat; consider iron-oxide tinted sunscreen; long treatment horizon (3-12 months)",Expect slow response; poor SPF adherence delays improvement,"AAD melasma treatment guidance",Always place sun-protection card at top for this condition
fungal,Moisture and spread control with antifungal adherence,"Use oil-free products where relevant; complete antifungal duration; hygiene and non-sharing practices",Early stopping antifungal treatment increases recurrence risk,"AAD tinea versicolor tips; NHS ringworm guidance",Include prevention cards to reduce reinfection/spread
dermatitis,Irritant/allergen avoidance and barrier protection,"Identify and avoid triggers; rinse after exposure; frequent emollients; use ingredient-aware product selection",Continued exposure prolongs inflammation,"NHS contact dermatitis guidance",Route to triggers+product_selection cards before optional lifestyle advice
melanoma,Early detection and urgent escalation,"Use ABCDE self-check; monitor evolving lesions; strict UV protection; seek GP/dermatology promptly for warning signs",Delayed evaluation increases risk of advanced disease,"AAD melanoma ABCDE; NHS melanoma symptoms/causes",Mark as high-priority safety flow with urgent-care messaging
bacterial,Infection control and treatment completion,"Complete antibiotic courses; monitor painful/hot/swollen skin; maintain skin hygiene and wound care",Untreated cellulitis can spread; urgent assessment may be required,"NHS cellulitis and impetigo guidance",Show treatment and spread-prevention cards before general lifestyle tips
viral,Early antiviral timing and contagion reduction,"For shingles seek treatment early (within ~3 days); keep rash clean/dry; reduce transmission risks for warts/verrucas",Delayed treatment can increase complications in shingles,"NHS shingles and warts/verrucas guidance",Add condition-specific prevention cards for household/public contact settings
wrinkle,Photoaging prevention via UV control,"Daily broad-spectrum SPF30+; reapply outdoors; avoid tanning beds; consider mineral sunscreen for sensitive skin",UV exposure accelerates aging and raises skin cancer risk,"AAD sunscreen FAQs",Default recommendation block should start with sun_protection
